Province,region1,region2,name,Address,latitude,longitude
Prince Edward Island,,Queens County,Shoppers Drug Mart,"172 Queen St, Charlottetown",46.2350633,-63.1285019
Saskatchewan,Saskatoon,,Sobeys Pharmacy No. 3154,"1739 Preston Avenue N, Saskatoon, SK, S7N 4V2",52.147858,-106.614865
New Brunswick,SAINT JOHN,QUISPAMSIS,SHOPPERS DRUG MART #193,175 CHEMIN OLD HAMPTON ROAD,45.4209166,-65.9516463
Prince Edward Island,,Kings County,Pharmasave Souris,"175 Main Street, Souris",46.3540887,-62.2431857
New Brunswick,MIRAMICHI,BLACKVILLE,BLACKVILLE PHARMASAVE,175 RUE MAIN STREET,46.5036489,-67.5851671
New Brunswick,MIRAMICHI,MIRAMICHI,SCOTT'S PHARMASAVE,1781 RUE WATER STREET,47.0306288,-65.4696655
New Brunswick,MONCTON,MONCTON,PHARMACIE JEAN COUTU #287,1789 CHEMIN NORD MOUNTAIN ROAD NORTH,46.1216757,-64.846109
Ontario,,,Hastings and Prince Edward Counties Health Unit,"179 N Park St, Belleville, ON K8P 4P1",44.186704,-77.3916942
New Brunswick,MONCTON,DIEPPE,SHOPPERS DRUG MART #2005,18 RUE CHAMPLAIN STREET - UNIT/UNIT? 1,46.0927497,-64.7589996
New Brunswick,FREDERICTON,GRAND-FALLS / GRAND-SAULT,SHOPPERS DRUG MART #177,180 CHEMIN MADAWASKA ROAD UNIT?/UNIT 700,47.0539626,-67.7430105
Newfoundland and Labrador,New World Island,,NWI Community Health Centre ,180 Road to the Isles P.O. Box 5 Summerford NLA0G 4E0,49.2328799,-55.0331199
Newfoundland and Labrador,,,New World Island Community Health Centre,180 Road to the Isles?NL?A0A 0A0,49.2328799,-55.0331199
Newfoundland and Labrador,,,New World Island Community Health Centre,180 Road to the Isles?NL?A0A 0A0,49.2328799,-55.0331199
Saskatchewan,Swift Current,,Wal-Mart Pharmacy,"1800 22nd Avenue NE, Swift Current, SK, S9H 0E5",50.3087337,-107.7791424
Saskatchewan,Saskatoon,,Medicine Shoppe No. 303,"1800 Central Avenue, Saskatoon, SK, S7N 2G6",52.1428639,-106.5988933
Saskatchewan,Battleford,,Battleford Remedy's Rx,"181A-22nd Street West, Battleford, SK, SOM 0E0",52.7361248,-108.3077352
New Brunswick,MONCTON,SALISBURY,SOBEYS PHARMACY,183 RUE MAIN STREET,46.5039462,-67.5856268
New Brunswick,MONCTON,DIEPPE,DIEPPE GUARDIAN,185 AVENUE ACADIE AVENUE,46.0922358,-64.7419758
Ontario,,,Peterborough Public Health Unit,"185 King St, Peterborough, ON K9J 2R8",44.3016405,-78.3213667
Saskatchewan,Saskatoon,,Safeway Pharmacy No. 4880,"1860 McOrmond Drive, Saskatoon, SK, S7S 0A5",52.1494989,-106.566888
Quebec,Outaouais,,VAL-DES-MONTS CLSC,1884 Route du CarrefourVal-des-Monts QC J8N 7N5,45.5850765,-75.6191906
Prince Edward Island,,Queens County,Shoppers Drug Mart,"19 Brackley Point Road, Charlottetown",46.25981,-63.12048
Saskatchewan,Qu'Appelle,,Qu'Appelle Pharmacy,"19 Qu'Appelle Street, Qu'Appelle, SK, SOG 4A0",50.5402129,-103.8775455
New Brunswick,CAMPBELLTON ,,CAMPBELLTON PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE CAMPBELLTON,"19 RUE ABERDEEN STREET, SUITE 200",48.0042455,-66.6758831
Saskatchewan,Emma Lake,,Ambrose Pharmacy (Pharmasave No. 464),"191 Ambrose Lane - Neis Beach, Emma Lake, SK, SOJ ONO",53.5686093,-105.8554173
Ontario,,,"Haliburton, Kawartha, Pine Ridge District Health Unit","191 Highland St, Haliburton, ON K0M 1S0",45.0461882,-78.5101882
New Brunswick,SAINT JOHN,ST. ANDREWS,ST. ANDREWS PHARMACY,192 RUE WATER STREET,46.9975072,-65.5476212
New Brunswick,MONCTON,BOUCTOUCHE,SHOPPERS DRUG MART #591,193 BOULEVARD IRVING BOULEVARD - SUITE 8,46.4646016,-64.7355906
Ontario,,,Brant County Health Unit,"194 Terrace Hill St, Brantford, ON N3R 1G7",43.1518358,-80.2744087
New Brunswick,SAINT JOHN,ST. STEPHEN,LOBLAWS PHARMACY,195 RUE KING STREET,45.9101799,-64.39624
New Brunswick,MONCTON,MONCTON,EVERGREEN GUARDIAN*,1966 CHEMIN MOUNTAIN ROAD - UNIT/UNIT? C,46.1227761,-64.8541836
Saskatchewan,Prince Albert,,Shoppers Drug Mart No. 401,"1A 2995 2nd Avenue W, Prince Albert, SK, S6V 5V5",53.1864309,-105.7626095
Saskatchewan,Yorkton,,Yorkton Pharmacy,"2 398 Broadway Street W, Yorkton, SK, S3N 0P1",51.2098311,-102.4879437
Quebec,Abitibi-T¨¦miscamingue,Senneterre,Centre multiservices de sant¨¦ et de services sociaux,"2 7e Rue, Forestville, QC G0T 1E0",48.7372645,-69.0743215
Northwest Territories,,,Aklavik,"2 Airport Road, P.O.?Box 114,?Aklavik, NT ?X0E 0A0",68.219916,-135.007788
New Brunswick,MIRAMICHI ,,BLACKVILLE PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE BLACKVILLE,2 ALL?E SHAFFER LANE,56.130366,-106.346771
New Brunswick,BATHURST,CARAQUET,PHARMACIE JEAN COUTU #114,2 BOULEVARD ST. PIERRE OUEST BOULEVARD,47.7936617,-64.9388151
Newfoundland and Labrador,,,St. Mary¡¯s Community Services,2 Dillons Lane?Newfoundland and Labrador?A0B 3B0,46.9124182,-53.577718
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 410,"20 2410 22nd Street W, Saskatoon, SK, S7M 0V7",52.1299046,-106.7073162
Newfoundland and Labrador,,,Deer Lake - Public Health Nurse,"20 Farm Road, Deer Lake, NL, A8A 1J3",49.1724509,-57.4230711
Saskatchewan,Ni pawin,,Pharmasave No. 402,"200 1st Avenue E, Nipawin, SK, SOE 1E0",53.3631658,-104.0151784
Saskatchewan,Moose Jaw,,Safeway Pharmacy No. 4893,"200 1st Avenue NW, Moose Jaw, SK, S6H 1S6",50.3920461,-105.5392919
New Brunswick,MIRAMICHI,MIRAMICHI,WAL-MART PHARMACY,200 BOULEVARD DOUGLASTOWN BOULEVARD,47.0385949,-65.4923553
New Brunswick,FREDERICTON ,,WOODSTOCK PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE WOODSTOCK,"200 RUE KING STREET, BUREAU/SUITE 145",46.09527,-64.77553
Saskatchewan,Regina,,Pulse Pharmacy,"200A-2101 E Quance Street, Regina, SK, S4V3L9",50.4438589,-104.5539722
New Brunswick,SAINT JOHN,SUSSEX,SHOPPERS DRUG MART #188,201 RUE MAIN STREET,46.5045994,-67.586682
Saskatchewan,Saskatoon,,Earl's Pharmacy,"201215 Central Avenue, Saskatoon, SK, S7N 2K8",52.1409122,-106.5986043
Saskatchewan,,,ROSTHERN,2014 6th Street?,51.5619119,-107.9837596
Saskatchewan,Saskatoon,,Save On Foods Pharmacy No. 5533,"201503 8th Street East, Saskatoon, SK, S7H 0T2",52.114844,-106.633561
Saskatchewan,Saskatoon,,Pharmasave No. 433,"202 2nd Avenue N, Saskatoon, SK, S7K 2B5",52.1304885,-106.662656
Saskatchewan,Regina,,Shoppers Drug Mart No. 423,"2028 Park Street, Regina, SK, S4V 2K9",50.4463301,-104.5733661
New Brunswick,FREDERICTON,HANWELL,MEDICINE SHOPPE,2049 ROUTE 640,45.9059441,-66.7510613
Saskatchewan,Biggar,,Leslie's Drug Store Ltd.,"205 Main Street, Biggar, SK, S0K0M0",52.0551644,-107.9858568
Saskatchewan,Regina,,Loblaw Pharmacy No. 1584,"2055 Prince of Wales Drive, Regina, SK, S4V 3A3",50.4467812,-104.5291472
New Brunswick,FREDERICTON,FREDERICTON,ROSS DRUG,206 AVENUE ROOKWOOD AVENUE,45.9607703,-66.6603444
Saskatchewan,Yorkton,,Loblaw Pharmacy No. 1582,"206 Broadway Street E, Yorkton, SK, S3N 3K4",51.2080647,-102.4521255
Saskatchewan,Kelvington,,Kelvington Rx Pharmachoice,"206 Main Street, Kelvington, SK, SOA 1W0",52.1623751,-103.5227371
New Brunswick,SAINT JOHN,SAINT JOHN,LAKEWOOD GUARDIAN,2075 CHEMIN LOCH LOMOND ROAD,45.3146575,-65.9652414
Saskatchewan,Melfort,,Shoppers Drug Mart No. 442,"209 Main Street, Melfort, SK, SOE1A0",52.8611488,-104.6108784
Yukon,,Mayo,Mayo health center,"21 Centre St, Mayo, YT Y0B 1M0",63.5950821,-135.8957967
Ontario,,,Northwestern Health Unit,"210 1st St N, Kenora, ON P9N 2K4, Canada",49.7695398,-94.4882224
New Brunswick,SAINT JOHN,ST. STEPHEN,PHARMACIE JEAN COUTU #396,210 RUE KING STREET- CHARLOTTE MALL/,46.5653163,-66.4619164
Saskatchewan,Regina,,University Park Pharmacy,"210 University Park Drive, Regina, SK, S4V1A3",50.4332175,-104.5584726
Saskatchewan,Regina,,Shoppers Drug Mart No. 428,"210211th Avenue, Regina, SK, S4P 3Y6",50.4502791,-104.6125178
Saskatchewan,Regina,,Costco Pharmacy No. 1296,"2110 Anaquod Road, Regina, SK, S4V3T7",50.4446073,-104.5080944
Saskatchewan,Meadow Lake,,Meadow Lake Co-op Pharmacy,"212 Centre Street, Meadow Lake, SK, S9X1Y5",54.1311096,-108.4328843
New Brunswick,SAINT JOHN,SAINT JOHN,STEEVES' PHARMASAVE*,212 PROMENADE MCALLISTER DRIVE,45.3106461,-66.0177371
Nunavut,,,Arviat Health Centre,"213 3rd Ave, Arviat, NU X0C 0E0",61.1107801,-94.0675624
Saskatchewan,Meadow Lake,,Madill's Drugs,"215 Centre Street, Meadow Lake, SK, S9X1Y2",54.1309422,-108.4336632
Saskatchewan,Biggar,,Pharmasave No. 415,"215 Main Street, Biggar, SK, S0K0M0",52.0554471,-107.9856741
Saskatchewan,Regina,,Wal-Mart Pharmacy No. 3179,"2150 Prince of Wales Drive, Regina, SK, S4V 3A6",50.4442657,-104.5345479
Saskatchewan,Langham,,Langham Pharmacy,"216 Main St E, Langham, SK SOK 2L0",52.3601214,-106.9587856
Saskatchewan,Canora,,Canora Pharmacy Ltd.,"216 Main Street, Canora, SK, SOA OLO",51.6356382,-102.4360907
Saskatchewan,Ni pawin,,Centre St Drugs,"219 Centre St, Nipawin, SK SOE 1E0",53.3619722,-104.0158181
Saskatchewan,Saskatoon,,Evergreen Clinic Pharmacy,"219 Evergreen Square, Saskatoon, SK, S7S 0Z2",52.1656655,-106.5699778
Quebec,Abitibi-T¨¦miscamingue,T¨¦miscaming,Centre multiservices de T¨¦miscaming / Kipawa (CLSC),"22 Rue Notre Dame N, Ville-Marie, QC J9V 1W8",47.333271,-79.4443809
Quebec,Abitibi-T¨¦miscamingue,Ville-Marie,Ancien accueil du Centre multiservices de sant¨¦ et de services sociaux de Ville-Marie,"22 Rue Notre Dame N, Ville-Marie, QC J9V 1W8",47.333271,-79.4443809
Quebec,Laurentides,,Rivi¨¨re-Rouge,"220, rue Labelle Sud, J0T 1T0",46.4074626,-74.8706076
Saskatchewan,Regina,,Shoppers Drug Mart No. 422,"2202 Broad Street, Regina, SK, S4P 4V6",50.4436206,-104.6074751
New Brunswick,BATHURST,BATHURST      ,GUARDIAN HARBOURVIEW PHARMACY,220-275 RUE MAIN STREET,46.5071508,-67.591187
Saskatchewan,Regina,,Safeway Pharmacy No. 4895,"2223 Victoria Avenue E, Regina, SK, S4N 6E4",50.4449787,-104.5521419
Saskatchewan,Saskatoon,,Wal-Mart Pharmacy No. 3083,"225 Betts Avenue, Saskatoon, SK, S7M 1L2",52.1261387,-106.7626114
Saskatchewan,Saskatoon,,Costco Pharmacy No. 1234,"225 Market Drive, Saskatoon, SK, S7V 0L2",52.0911788,-106.5293675
New Brunswick,FREDERICTON,OROMOCTO,RIVERSIDE GUARDIAN,225 RUE MITCHELL STREET,47.8972559,-65.9844815
Saskatchewan,Regina,,Lome Drugs,"225514th Avenue, Regina, SK, S4P 0X9",50.4502791,-104.6125178
New Brunswick,BATHURST,SHIPPIGAN,SHOPPERS DRUG MART #594,229 BOULEVARD J.D. GAUTHIER BOULEVARD UNIT?/UNIT 9,47.7437468,-64.7094035
New Brunswick,MONCTON ,,SACKVILLE PUBLIC HEALTH / CENTRE DE LA SANT? DE PUBLIQUE DESACKVILLE,23 YORK STREET  UNIT C,45.8983742,-64.3691588
New Brunswick,FREDERICTON,FREDERICTON,NORTHSIDE PHARMACHOICE*,231 RUE CANADA STREET,45.9766668,-66.5925377
Saskatchewan,Regina,,Medicine Shoppe Pharmacy No. 300,"2310 9th Avenue N, Regina, SK, S4R 8C5",50.484721,-104.6143881
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 414,"2325 Preston Avenue S, Saskatoon, SK, S7J 2G2",52.101643,-106.6203576
Saskatchewan,Saskatoon,,FreshCo 4285,"2325 Preston Avenue, Saskatoon, SK, S7J 2G1",52.101643,-106.6203576
New Brunswick,FREDERICTON,MINTO,SHOPPERS DRUG MART #174,234 RUE MAIN STREET,46.5043938,-67.5857747
Quebec,?Bas-Saint-Laurent,,Point de service local - Rimouski (vaccination),"234, Avenue L¨¦onidas Sud,Rimouski (Qu¨¦bec) G5L 2T2",48.4611248,-68.5057943
New Brunswick,FREDERICTON,HARTLAND,NEVERS PHARMACY,2-370 RUE MAIN STREET,46.2972232,-67.5269894
New Brunswick,BATHURST ,,SHIPPAGAN PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE SHIPPAGAN,239B BOULEVARD J.D. GAUTHIER BOULEVARD,47.7435867,-64.7098271
Saskatchewan,Yorkton,,Sage Pharmacy,"23-D Smith St W, Yorkton, SK S3N 0H9",51.2123615,-102.4643304
Saskatchewan,Redvers,,Pharmasave No. 404,"24 Broadway Street, Redvers, SK, SOC 2H0",49.5714888,-101.6984855
Prince Edward Island,,Prince County,PARKDALE PHARMACY?,"24 St. Peter's Road, Charlottetown",46.2482907,-63.122221
New Brunswick,FREDERICTON,GRAND-FALLS / GRAND-SAULT,LOBLAWS PHARMACY,240 CHEMIN MADAWASKA ROAD,47.0560045,-67.7455812
Saskatchewan,Yorkton,,Wal-Mart Pharmacy No. 3176,"240 Hamilton Road, Yorkton, SK, S3N 4C6",51.204719,-102.4459307
Saskatchewan,Regina,,Park Street Drugs Ltd.,"2415 Park Street, Regina, SK, S4N 2H1",50.4402011,-104.5717777
Ontario,,,Timiskaming Health Unit,"247 Whitewood Ave W, Temiskaming Shores, ON P0J 1P0",47.5092835,-79.681632
Prince Edward Island,,Prince County,Bob's Pharmacy,"248 Phillip St, Tignish",46.9488345,-64.0421111
New Brunswick,CAMPBELLTON,ATHOLVILLE ,LOBLAWS PHARMACY,25 AVENUE SAVOIE AVENUE,47.9890666,-66.7017446
New Brunswick,MONCTON,RICHIBUCTO,SHOPPERS DRUG MART #592,25 BOULEVARD CARTIER BOULEVARD ¨C UNIT/UNIT? 103,46.6722759,-64.871944
New Brunswick,MONCTON,MONCTON,WAL-MART PHARMACY,25 BOULEVARD PLAZA BOULEVARD,46.1149596,-64.8297901
New Brunswick,BATHURST,CARAQUET,SHOPPERS DRUG MART #596,25 BOULEVARD ST. PIERRE OUEST BOULEVARD,47.7939025,-64.9410787
New Brunswick,FREDERICTON,FREDERICTON,COSTCO PHARMACY,25 BOULEVARD WAYNE SQUIBB BOULEVARD,45.9270785,-66.6632806
New Brunswick,MONCTON ,,RICHIBUCTO PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE RICHIBUCTO,"25 BOULVEVARD CARTIER BOULEVARD,BUREAU/UNIT 153",46.6722759,-64.871944
Prince Edward Island,,Kings County,Cornwall Pharmasave,"25 Meadowbank Rd, Cornwall",46.2262424,-63.2194835
Prince Edward Island,,Queens County,Cornwall Pharmasave,25 Meadowbank Rd,46.2262424,-63.2194835
Prince Edward Island,,Prince County,MORELL PHARMACY,"25 Sunset Crescent, Morell",46.4152161,-62.7067812
Quebec,?Bas-Saint-Laurent,,Point de service local - Amqui (vaccination)?,"25, avenue du ParcAmqui (Qu¨¦bec)?G5J 2L4",48.4638206,-67.434425
New Brunswick,MIRAMICHI,MIRAMICHI,PHARMACIE JEAN COUTU #218,250 RUE PLEASANT STREET,46.7347626,-65.4449853
Newfoundland and Labrador,,,St. Gabriel's Hall,254 Ville Marie Drive?Newfoundland and Labrador?A0E 2M0,47.1609925,-55.1606961
Newfoundland and Labrador,,,St. Gabriel's Hall,254 Ville Marie Drive?Newfoundland and Labrador?A0E 2M0,47.1609925,-55.1606961
Saskatchewan,Regina,,Medicine Shoppe Pharmacy No. 304,"2553 Quance Street E, Regina, SK, S4V 2X7",50.4427,-104.5482729
New Brunswick,MONCTON,CAP PELE,PHARMACIE JEAN COUTU #408,2562 CHEMIN ACADIE ROAD,46.2171646,-64.2822706
Saskatchewan,Ponteix,,Pharmasave No. 403,"256B Centre Street, Ponteix, SK, SON 1Z0",49.7454401,-107.4903917
Quebec,Laurentides,,Mont-Laurier,"261, boul. des Ruisseaux, J9L 0H6",46.5506789,-75.5212538
New Brunswick,FREDERICTON,CHIPMAN,SHOPPERS DRUG MART #178,263 RUE MAIN STREET,46.5067502,-67.590441
Saskatchewan,Yorkton,,Hearn's Westview Pharmacy,"265 Bradbrooke Drive, Yorkton, SK, S3N 3L3",51.2031197,-102.4798482
Prince Edward Island,,Prince County,EAST ROYALTY PHARMACY,"266 St. Peters Road, Charlottetown",46.26917,-63.11301
New Brunswick,MONCTON,CAP PELE,PHARMACIE DE CAP-PELE,2680 CHEMIN ACADIE ROAD,46.2149704,-64.2671812
New Brunswick,FREDERICTON,FREDERICTON,SHOPPERS DRUG MART #173,269 RUE MAIN STREET,46.5069505,-67.590814
Saskatchewan,Weyburn,,Price-Rite Guardian Drugs,"27 3rd Street NE, Weyburn, SK, S4H 0W1",49.6608374,-103.8544267
New Brunswick,BATHURST,BERESFORD,PHARMACIE JEAN COUTU #398,271 RUE CENTRE STREET,47.0551808,-67.7201754
New Brunswick,FREDERICTON ,,OROMOCTO PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE OROMOCTO,275 A RUE RESTIGOUCHE ROAD,48.1786839,-65.8702036
Ontario,,,City of Toronto Health Unit,"277 Victoria St, Toronto, ON M5B 2L6",43.6565233,-79.3795247
New Brunswick,SAINT JOHN,GRAND MANAN,GRAND ISLE DRUG STORE GRAND MANAN,28 PROMENADE DURANT DRIVE,44.76638,-66.74354
Quebec,?Bas-Saint-Laurent,,Point de service local - Rivi¨¨re-du-Loup (vaccination et d¨¦pistage),"280, boulevard de l'H?tel de VilleRivi¨¨re-du-Loup (Qu¨¦bec) G5R 5C6",47.8231596,-69.5567353
Saskatchewan,Saskatoon,,Pharmacy First at Lifebridge,"28118 Cope Crescent, Saskatoon, SK, S7T 0X3",52.0855657,-106.6429453
Saskatchewan,Saskatoon,,Loblaw Pharmacy No. 4370,"2815 Wanuskewin Road, Saskatoon, SK, S7K8E6",52.1744651,-106.6410611
Ontario,,,HaldimandNorfolk Health Unit,"282 Argyle St S, Caledonia, ON N3W 1K7",43.0638167,-79.9589267
New Brunswick,FREDERICTON,PLASTER ROCK,PLASTER ROCK GUARDIAN,282 RUE MAIN STREET,46.2939532,-67.5228264
New Brunswick,MONCTON,HILLSBOROUGH,PHARMACIE JEAN COUTU #318/ FORD'S PHARMACY LTD.,2848 RUE MAIN STREET,45.9234667,-64.6463322
New Brunswick,FREDERICTON,FREDERICTON,CAMPUS PHARMACY*,29 PROMENADE DINEEN DRIVE,45.9480663,-66.6432891
Quebec,Outaouais,,SHAWVILLE CLSC,290 Marion St.Shawville QC J0X 2Y0,45.605813,-76.48665
New Brunswick,MONCTON,MONCTON,SRX PHARMACY,290 RUE MAIN STREET- UNIT/UNIT? B2-5,46.5071363,-67.5906012
New Brunswick,SAINT JOHN,UPPER LETANG,HOMETOWN PHARMACHOICE,292 RUE MAIN STREET,46.5072716,-67.5908112
Ontario,,,District of Algoma Health Unit,"294 Willow Ave, Sault Ste. Marie, ON P6B 0A9",46.5323629,-84.3148374
New Brunswick,BATHURST ,,CARAQUET PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE CARAQUET,295 BOULEVARD SAINT-PIERRE BOULEVARD OUEST/WEST,47.7889496,-64.9765467
Saskatchewan,Prince Albert,,Safeway Pharmacy No. 4889,"2995 2nd Avenue W, Prince Albert, SK, S6V 5V5",53.1864309,-105.7626095
Saskatchewan,Saskatoon,,Co-op Pharmacy Marketplace on Attridge,"3 402 Ludlow Street, Saskatoon, SK, S7S 1M7",52.1466601,-106.5722583
Saskatchewan,Saskatoon,,Pharmasave No. 401,"3 50 Kenderdine Rd, Saskatoon, SK, S7N 3A1",52.1442737,-106.5759983
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 407,"3 7 Assiniboine Drive, Saskatoon, SK, S7K1H1",52.16024,-106.64459
Newfoundland and Labrador,Gander,,Bell Place Community Health Centre,3 Bell Place Gander NLA1V 2T4,48.9577594,-54.6085304
Newfoundland and Labrador,,,Gander Community Health Centre,3 Bell Place?NL?A1V 2T4,48.9577594,-54.6085304
New Brunswick,SAINT JOHN,SUSSEX,SHARP'S CORNER DRUG STORE LTD.,3 RUE BROAD STREET,45.8515794,-66.4772371
New Brunswick,SAINT JOHN ,,SUSSEX PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE SUSSEX,30 AVENUE MOFFETT AVENUE,45.7258644,-65.5284285
New Brunswick,MONCTON,BOUCTOUCHE,BOUCTOUCHE GUARDIAN,30 BOULEVARD IRVING BOULEVARD,46.4720709,-64.7202181
Saskatchewan,Saskatoon,,Loblaw Pharmacy No. 4375,"30 Kenderdine Road, Saskatoon, SK, S7N 4M8",52.1450525,-106.5763035
Saskatchewan,Moose Jaw,,Loblaw Pharmacy No. 1583,"30 Thatcher Drive E, Moose Jaw, SK, S6J 1L7",50.4132301,-105.5317983
Quebec,Mont¨¦r¨¦gie,,CANDIAC,"30, rue Strasbourg",46.7754437,-71.32235
Saskatchewan,Saskatoon,,FreshCo 4283,"300 Confederation Drive, Saskatoon, SK, S7L 4R6",52.1333456,-106.7201903
New Brunswick,SAINT JOHN,SAINT JOHN,COSTCO PHARMACY,300 PROMENADE RETAIL DRIVE,45.3057555,-66.0280258
New Brunswick,FREDERICTON ,,FREDERICTON PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DEFREDERICTON,"300 RUE ST MARY¡¯S STREET,BUREAU/SUITE 1200",45.3457195,-73.732715
Saskatchewan,Kindersley,,Pharmasave No. 417,"301 Main Street, Kindersley, SK, SOL ISO",51.4674649,-109.1547993
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 2463,"3014 McClocklin Road, Saskatoon, SK, S7R 0J1",52.1522404,-106.7166207
Saskatchewan,Regina,,Safeway Pharmacy No. 4887,"3015 Gordon Road, Regina, SK, S4S 6H7",50.4031864,-104.6242862
Saskatchewan,Saskatoon,,FreshCo 4284,"302 33rd Street West, Saskatoon, SK S7L 0V4",52.1443325,-106.6738101
Saskatchewan,Balgonie,,Balgonie Pharmacy,"302 Griffin Road, Balgonie, SK, SOG 0E0",50.4845508,-104.271229
Saskatchewan,Regina,,Shoppers Drug Mart No. 421,"303 Albert Street N, Regina, SK, S4R 3C4",50.4829819,-104.6152402
Saskatchewan,Rose Valley,,Rose Valley Pharmacy,"303 Centre Street, Rose Valley, SK, SOE1M0",52.2919433,-103.8110896
Saskatchewan,Saskatoon,,Wal-Mart Pharmacy No. 5878,"3035 Clarence Avenue S, Saskatoon, SK, S7T 0B6",52.0882451,-106.6411146
Saskatchewan,Regina,,Regina Family Pharmacy,"3037 Dewdney Avenue, Regina, SK, S4T 0Y3",50.45486,-104.625213
Saskatchewan,Delisle,,Delisle Pharmacy,"305 1 St W, Delisle, SK, SOL 0P0",51.9243108,-107.1345808
Saskatchewan,Regina,,Shoppers Drug Mart No. 408,"306 5875 Rochdale Boulevard, Regina, SK, S4X 2P9",50.4952019,-104.6657652
Saskatchewan,Saskatoon,,Nanogram Pharmacy,"306 Wellman Ln 130, Saskatoon, SK S7T 0J1",52.0823245,-106.6405917
Saskatchewan,Biggar,,Biggar Guardian Pharmacy,"307 Main Street, Biggar, SK, S0K0M1",52.0562849,-107.9852451
New Brunswick,MONCTON,SALISBURY,LOBLAWS PHARMACY,307 RUE MAIN STREET,46.4418813,-67.6192162
Saskatchewan,StWalburg,,St. Walburg Pharmacy,"31 Main Street, Walburg, SK SOM 2T0",53.6355645,-109.2035199
Saskatchewan,Saskatoon,,Sobeys Pharmacy No. 5038,"3100 Preston Avenue, Saskatoon, SK, S7T 0V1",52.0863252,-106.6237884
Saskatchewan,Saskatoon,,Sobeys Pharmacy No. 5038,"3100 Preston Avenue, Saskatoon, SK, S7T 0V1",52.0863252,-106.6237884
Saskatchewan,Regina,,SRx Pharmacy Albert St,"3-1042 Albert Street, Regina, SK, S4R 2P8",50.4621186,-104.6186349
New Brunswick,CAMPBELLTON,ATHOLVILLE ,SHOPPERS DRUG MART #171,312 CHEMIN VAL D'AMOUR ROAD - UNIT?/UNIT #155,47.9937531,-66.699206
Northwest Territories,,,Frame Lake Community Health Clinic,"312 Old Airport Rd, Yellowknife, NT X1A 3T3",62.4482083,-114.4067276
Saskatchewan,Yorkton,,Save On Foods Pharmacy No 5515,"31-277 Broadway Ave E, Yorkton, SK, S3N 3G7",51.2121661,-102.4436174
New Brunswick,FREDERICTON,DOAKTOWN,DOAKTOWN PHARMASAVE,314 RUE MAIN STREET,46.5081999,-67.5925467
Saskatchewan,Saskatoon,,Loblaw Pharmacy No. 4594,"315 Herold Road, Saskatoon, SK, S7V1J7",52.0996501,-106.5672961
Quebec,Mont¨¦r¨¦gie,,SAINT-JEAN-SUR-RICHELIEU,"315, rue?MacDonald?(suite 120)",45.3261486,-73.2661979
New Brunswick,MONCTON,SALISBURY,SALISBURY PHARMACY,3154 RUE MAIN STREET,45.9005757,-64.6287422
Saskatchewan,Stoughton,,Newhope Pharmacy,"316 Main Street, Stoughton, SK, SOG 4T0",49.6799937,-103.0269072
New Brunswick,SAINT JOHN,GRAND-BAY WESTFIELD,MEDICINE SHOPPE,317 PROMENADE RIVER VALLEY DRIVE,45.3064626,-66.1956187
New Brunswick,MONCTON,DIEPPE,FAMILIPRIX DIEPPE,318 RUE AMIRAULT STREET,46.0847616,-64.7326519
Saskatchewan,Weyburn,,Weyburn Health Centre Pharmacy,"32 4th St NE, Weyburn, SK, S4H 0X7",49.6613037,-103.8521439
New Brunswick,MONCTON,MONCTON,SHOPPERS DRUG MART #590,320 PROMENADE ELMWOOD DRIVE,46.1132318,-64.7744332
Quebec,Mont¨¦r¨¦gie,,SAINT-HYACINTHE,"3200, boulevard?Laframboise",45.6385298,-72.9648864
Saskatchewan,Moose Jaw,,Medicine Shoppe No. 293,"323 4th Avenue SW, Moose Jaw, SK, S6H 5V2",50.384558,-105.5444027
New Brunswick,BATHURST,BATHURST      ,BATHURST PHARMASAVE,325 BOULEVARD VANIER BOULEVARD,47.6400287,-65.6826304
Saskatchewan,Candle Lake,,Pharmasave No. 463,"32A Highway 265, Candle Lake, SK, SOJ 3E0",53.8110861,-105.3845428
Saskatchewan,Yorkton,,Shoppers Drug Mart No. 405,"33 - 277 Broadway Street E, Yorkton, SK, S3N 3M5",51.2121661,-102.4436174
Saskatchewan,Saskatoon,,Saskatoon Co-op Pharmacy Centre at Circle,"3310 8th Street East, Saskatoon, SK, S7H 0W4",52.1142152,-106.6009525
New Brunswick,SAINT JOHN,SAINT JOHN,PORT CITY PHARMACY,333 RUE MAIN STREET,46.5087464,-67.5941383
Quebec,Outaouais,,LOW CLSC,"334, Route 105Low QC J0X 2C0",45.9455358,-76.0092129
